NAME;CTC_ID;COORD_LAT;COORD_LONG
"ARAVIS";14417;45.846413;6.334947
"CHABLAIS";14411;46.318140;6.626145
"MONT-BLANC";14410;45.883301;6.777260
"BELLEDONNE";14398;45.285310;6.083845
"CHARTREUSE";14401;45.391632;5.829542
"GRANDES-ROUSSES";14407;45.103830;6.158032
"OISANS";14403;44.906325;6.048607
"VERCORS";14459;44.985566;5.444291
"CHAMPSAUR";;44.738119;6.211661
"DEVOLUY";14402;44.711481;5.856499
"EMBRUNAIS-PARPAILLON";14433;44.556136;6.498148
"HAUT-VAR_HAUT-VERDON";;44.125274;6.888620
"MERCANTOUR";14466;44.099146;7.404649
"PELVOUX";;44.846494;6.453069
"QUEYRAS";14432;44.777821;6.774239
"THABOR";252522;45.030848;6.587581
"UBAYE";14433;44.427467;6.693337
"BAUGES";14399;45.656268;6.117206
"BEAUFORTAIN";14400;45.646010;6.591681
"HAUTE-MAURIENNE";;45.251245;6.945459
"HAUTE-TARENTAISE";;45.502243;6.934307
"MAURIENNE";;45.290803;6.311035
"VANOISE";;45.354104;6.594064
